Season,Location,Study day,Stage,Name  ,Weight mg,N  percent,C  percent,CN  ratio
spring,conint,0,Initial,1_SP1_conint,58.29,0.794,13.253,16.6842
spring,grint,0,Initial,1_SP1_grint,54.96,0.738,11.412,15.4723
spring,conint,0,Initial,1_SP2_conint,64.82,0.839,12.435,14.827
spring,grint,0,Initial,1_SP2_grint,55.47,0.748,10.793,14.4246
spring,conint,0,Initial,1_SP3_conint,64.65,0.777,11.575,14.8981
spring,grint,0,Initial,1_SP3_grint,64.01,0.783,11.474,14.6449
spring,conint,8,Bloat,2_SP1_conint,53.26,0.786,11.647,14.8089
spring,grint,8,Bloat,2_SP1_grint,23.76,0.981,16.394,16.7154
spring,conint,8,Bloat,2_SP2_conint,64.19,0.841,12.062,14.3406
spring,grint,8,Bloat,2_SP2_grint,30.32,0.842,14.078,16.7146
spring,conint,8,Bloat,2_SP3_conint,64.8,0.739,10.9,14.7433
spring,grint,8,Bloat,2_SP3_grint,23.2,0.808,18.406,22.7937
spring,conint,12,Active,3_SP1_conint,78.6,0.664,9.416,14.1854
spring,grint,12,Active,3_SP1_grint,24.46,0.989,27.874,28.1899
spring,conint,12,Active,3_SP2_conint,57.49,0.914,12.782,13.9893
spring,grint,12,Active,3_SP2_grint,25.54,1.329,28.492,21.4424
spring,conint,12,Active,3_SP3_conint,67.48,0.899,13.311,14.81
spring,grint,12,Active,3_SP3_grint,37.38,1.007,24.159,23.9853
spring,conint,16,Advanced,4_SP1_conint,61.12,0.641,9.56,14.9186
spring,grint,16,Advanced,4_SP1_grint,40.66,1.218,31.911,26.1968
spring,conint,16,Advanced,4_SP2_conint,50.75,0.828,12.638,15.2572
spring,grint,16,Advanced,4_SP2_grint,26.22,1.28,25.641,20.038
spring,conint,16,Advanced,4_SP3_conint,59.74,0.845,12.384,14.6497
spring,grint,16,Advanced,4_SP3_grint,27.84,1.244,23.49,18.8831
spring,conint,27,Advanced2,5_SP1_conint,63.98,0.558,8.104,14.5158
spring,grint,27,Advanced2,5_SP1_grint,29.96,1.935,38.999,20.1586
spring,conint,27,Advanced2,5_SP2_conint,57.3,0.958,14.867,15.5219
spring,grint,27,Advanced2,5_SP2_grint,28.93,1.855,29.203,15.7413
spring,conint,27,Advanced2,5_SP3_conint,58.19,0.978,15.084,15.4271
spring,grint,27,Advanced2,5_SP3_grint,33.03,1.073,16.195,15.0917
spring,conint,43,Advanced3,6_SP1_conint,61.06,0.828,12.098,14.6064
spring,grint,43,Advanced3,6_SP1_grint,25.65,1.9,23.798,12.5256
spring,conint,43,Advanced3,6_SP2_conint,58.65,0.925,13.675,14.7785
spring,grint,43,Advanced3,6_SP2_grint,25.38,1.359,19.228,14.1447
spring,conint,43,Advanced3,6_SP3_conint,57.52,0.925,13.585,14.681
spring,grint,43,Advanced3,6_SP3_grint,33.04,1.307,30.04,22.9862
spring,conint,58,Advanced4,7_SP1_conint,76.93,0.791,11.404,14.4087
spring,grint,58,Advanced4,7_SP1_grint,34.27,1.492,22.264,14.9199
spring,conint,58,Advanced4,7_SP2_conint,50.98,0.965,14.754,15.2873
spring,grint,58,Advanced4,7_SP2_grint,25.14,1.13,17.878,15.8176
spring,conint,58,Advanced4,7_SP3_conint,74.62,0.867,13.027,15.0268
spring,grint,58,Advanced4,7_SP3_grint,83.14,1.334,17.892,13.4156
spring,conint,72,Advanced5,8_SP1_conint,89.64,0.739,10.402,14.0785
spring,grint,72,Advanced5,8_SP1_grint,65.9,1.234,17.376,14.0811
spring,conint,72,Advanced5,8_SP2_conint,88.43,0.923,13.02,14.1112
spring,grint,72,Advanced5,8_SP2_grint,92.95,1.136,13.776,12.1313
spring,conint,72,Advanced5,8_SP3_conint,70.27,0.824,12.286,14.9153
spring,grint,72,Advanced5,8_SP3_grint,68.52,0.903,12.271,13.5945
spring,conint,86,Advanced6,9_SP1_conint,58.87,0.721,10.411,14.444
spring,grint,86,Advanced6,9_SP1_grint,61.91,1.627,27.451,16.8683
spring,conint,86,Advanced6,9_SP2_conint,69.93,0.822,11.942,14.5198
spring,grint,86,Advanced6,9_SP2_grint,78.64,0.863,12.634,14.6388
spring,conint,86,Advanced6,9_SP3_conint,67.15,0.881,12.649,14.3532
spring,grint,86,Advanced6,9_SP3_grint,66.48,1.479,22.446,15.1791
spring,conint,103,Advanced7,10_SP1_conint,72.98,0.607,8.723,14.3711
spring,grint,103,Advanced7,10_SP1_grint,64.68,1.294,17.65,13.6375
spring,conint,103,Advanced7,10_SP2_conint,67.41,0.908,13.795,15.1856
spring,grint,103,Advanced7,10_SP2_grint,91.48,1.026,12.067,11.7643
spring,conint,103,Advanced7,10_SP3_conint,62,0.87,12.79,14.7051
spring,grint,103,Advanced7,10_SP3_grint,81.2,1.333,18.002,13.5079
spring,conint,117,Advanced8,11_SP1_conint,75.54,0.63,8.632,13.7056
spring,grint,117,Advanced8,11_SP1_grint,87.07,1.146,13.949,12.1743
spring,conint,117,Advanced8,11_SP2_conint,93.42,0.843,11.885,14.0907
spring,grint,117,Advanced8,11_SP2_grint,64.5,1.075,12.634,11.7545
spring,conint,117,Advanced8,11_SP3_conint,87.82,0.779,10.789,13.8582
spring,grint,117,Advanced8,11_SP3_grint,87.39,1.061,14.354,13.5236
spring,conint,132,Advanced9,12_SP1_conint,102.18,0.591,7.789,13.179
spring,grint,132,Advanced9,12_SP1_grint,74.34,1.079,12.17,11.278
spring,conint,132,Advanced9,12_SP2_conint,74.4,0.813,11.974,14.7307
spring,grint,132,Advanced9,12_SP2_grint,73.4,0.977,11.634,11.9109
spring,conint,132,Advanced9,12_SP3_conint,83.02,0.823,11.924,14.4967
spring,grint,132,Advanced9,12_SP3_grint,64.21,1.056,13.391,12.6853
spring,conint,150,Advanced10,13_SP1_conint,72.75,0.657,8.588,13.0744
spring,grint,150,Advanced10,13_SP1_grint,70.32,1.319,15.12,11.4595
spring,conint,150,Advanced10,13_SP2_conint,57.72,0.898,14.122,15.7213
spring,grint,150,Advanced10,13_SP2_grint,71.99,0.909,11.266,12.3895
spring,conint,150,Advanced10,13_SP3_conint,61.4,1.281,15.354,11.9899
spring,grint,150,Advanced10,13_SP3_grint,68.34,1.213,14.932,12.3085
spring,conint,168,Advanced11,14_SP1_conint,96.2,0.614,8.015,13.05
spring,grint,168,Advanced11,14_SP1_grint,60.17,2.361,21.048,8.9167
spring,conint,168,Advanced11,14_SP2_conint,76.25,0.909,14.997,16.4919
spring,grint,168,Advanced11,14_SP2_grint,116.11,1.106,11.889,10.75
