Season,Gene,ADH_ambient,ADH_internal,ADH_soil,Location,Sample,Date,Study day,copies/gdw,log copies/gdw,fungal:bacterial ratio,log f:b ratio,Chao1,Shannon,InvSimpson
SP,16S,0,0,0,conint,conint,43222,0,1.84667E+09,9.266390144,5.28611E-02,-1.276863613,4444.733485,6.462025188,149.0341801
SP,16S,0,0,0,con15,con15,43222,0,4.45543E+09,9.648889492,1.87608E-02,-1.726748198,4519.47216,6.624857648,208.5162382
SP,16S,0,0,0,grint,gr_int_sp1,43222,0,1.78860E+09,9.252512155,5.59690E-02,-1.252052104,5596.333333,6.731612834,265.1202392
SP,16S,0,0,0,gr15,gr_15_sp1,43222,0,5.64963E+09,9.752020144,1.86888E-02,-1.728419567,4506.556818,6.249345992,121.7988082
SP,16S,0,0,0,grint,gr_int_sp2,43222,0,1.33944E+09,9.126922174,5.53666E-02,-1.256752432,4794.375701,6.782975895,297.0886976
SP,16S,0,0,0,gr15,gr_15_sp2,43222,0,5.47210E+09,9.738154163,1.59390E-02,-1.797539934,5374.50497,6.304634708,120.3883445
SP,16S,0,0,0,grint,gr_int_sp3,43222,0,1.91953E+09,9.283193927,7.13098E-02,-1.146850699,6124.367378,6.766541014,270.0044649
SP,16S,0,0,0,gr15,gr_15_sp3,43222,0,3.83991E+09,9.58432137,3.96776E-02,-1.40145491,5235.051661,6.165266606,108.6863951
SP,16S,3801,2457,2703,conint,conint,43230,8,2.27170E+09,9.356351573,4.56563E-02,-1.340499464,6536.282913,6.834083978,265.3063821
SP,16S,3801,2457,2703,con15,con15,43230,8,5.72001E+09,9.757396571,4.05444E-02,-1.392068685,4213.280098,6.242215002,117.7797387
SP,16S,3801,2457,2703,grint,gr_int_sp1,43230,8,4.13385E+10,10.61635504,1.51812E-02,-1.818693848,2346.504673,4.161962468,14.80193293
SP,16S,3801,2457,2703,gr15,gr_15_sp1,43230,8,2.32101E+09,9.365676189,2.66126E-02,-1.574912821,4933.621762,6.623324263,216.53408
SP,16S,3801,2457,2703,grint,gr_int_sp2,43230,8,5.70322E+10,10.75611988,2.16857E-02,-1.663827185,2517.962457,4.779779145,21.82718842
SP,16S,3801,2457,2703,gr15,gr_15_sp2,43230,8,4.18053E+09,9.621231453,5.86959E-02,-1.231392257,3565.44504,6.068919233,105.4024217
SP,16S,3801,2457,2703,grint,gr_int_sp3,43230,8,3.58892E+10,10.55496368,3.26108E-02,-1.486638969,3753.599424,5.486556986,46.25655341
SP,16S,3801,2457,2703,gr15,gr_15_sp3,43230,8,2.75370E+10,10.4399162,1.44251E-02,-1.840880205,4004.281726,6.039737271,96.11946899
SP,16S,6036,5352,5362,conint,conint,43234,12,2.00149E+10,10.30135435,3.61990E-02,-1.441303114,4640.142212,6.432736657,160.9631871
SP,16S,6036,5352,5362,con15,con15,43234,12,2.16222E+10,10.33489919,4.63951E-03,-2.333527549,3778.562914,6.396025042,145.7974311
SP,16S,6036,5352,5362,grint,gr_int_sp1,43234,12,7.46592E+07,7.873083398,2.70638E-01,-0.567611387,1314.71875,3.149597723,9.576281315
