Season,Gene,ADH_ambient,ADH_internal,ADH_soil,Location,Sample,Date,Study day,copies/gdw,log copies/gdw,fungal:bacterial ratio,log f:b ratio,Chao1,Shannon,InvSimpson
SP,ITS,0,0,0,conint,conint,43222,0,9.76172E+07,7.989526531,5.28611E-02,-1.276863613,1355.294118,5.205193891,65.58258342
SP,ITS,0,0,0,con15,con-core,43222,0,8.35875E+07,7.922141294,1.87608E-02,-1.726748198,894.46,4.285806967,28.48103291
SP,ITS,0,0,0,grint,gr_int_SP1,43222,0,1.00106E+08,8.000460051,5.59690E-02,-1.252052104,1223.5,5.177614129,52.63281933
SP,ITS,0,0,0,gr15,gr_15_SP1,43222,0,1.05585E+08,8.023600577,1.86888E-02,-1.728419567,1001.777778,4.251844,27.65746625
SP,ITS,0,0,0,grint,gr_int_SP2,43222,0,7.41600E+07,7.870169742,5.53666E-02,-1.256752432,1254.307692,5.117224838,63.07303706
SP,ITS,0,0,0,gr15,gr_15_SP2,43222,0,8.72196E+07,7.94061423,1.59390E-02,-1.797539934,741.2604167,4.166166644,28.6589915
SP,ITS,0,0,0,grint,gr_int_SP3,43222,0,1.36881E+08,8.136343228,7.13098E-02,-1.146850699,1303.403974,4.322175177,12.58060901
SP,ITS,0,0,0,gr15,gr_15_SP3,43222,0,1.52358E+08,8.182866461,3.96776E-02,-1.40145491,1056.509259,4.36869393,27.41580627
SP,ITS,3801,2457,2703,conint,conint,43230,8,1.03718E+08,8.015852109,4.56563E-02,-1.340499464,1472.053476,5.597391009,103.7825542
SP,ITS,3801,2457,2703,con15,con-core,43230,8,2.31914E+08,8.365327886,4.05444E-02,-1.392068685,1565.685393,5.287528833,77.41520467
SP,ITS,3801,2457,2703,grint,gr_int_SP1,43230,8,6.27569E+08,8.797661191,1.51812E-02,-1.818693848,871.5375,0.532954889,1.128786567
SP,ITS,3801,2457,2703,gr15,gr_15_SP1,43230,8,6.17680E+07,7.790763368,2.66126E-02,-1.574912821,847,3.940512744,16.76527794
SP,ITS,3801,2457,2703,grint,gr_int_SP2,43230,8,1.23678E+09,9.092292695,2.16857E-02,-1.663827185,966.2857143,1.886413206,2.117045781
SP,ITS,3801,2457,2703,gr15,gr_15_SP2,43230,8,2.45380E+08,8.389839196,5.86959E-02,-1.231392257,1177.629032,4.210464068,14.89382246
SP,ITS,3801,2457,2703,grint,gr_int_SP3,43230,8,1.17037E+09,9.068324707,3.26108E-02,-1.486638969,1074.155963,1.681157351,1.637795472
SP,ITS,3801,2457,2703,gr15,gr_15_SP3,43230,8,3.97224E+08,8.599035999,1.44251E-02,-1.840880205,1613.197802,4.030437017,8.699740181
SP,ITS,6036,5352,5362,conint,conint,43234,12,7.24521E+08,8.860051237,3.61990E-02,-1.441303114,2467.222672,5.663142499,84.58877136
SP,ITS,6036,5352,5362,con15,con-core,43234,12,1.00316E+08,8.001371639,4.63951E-03,-2.333527549,1684.783186,5.196595465,65.94903781
SP,ITS,6036,5352,5362,grint,gr_int_SP1,43234,12,2.02056E+07,7.305472011,2.70638E-01,-0.567611387,288.15625,1.240926891,2.355718518
SP,ITS,6036,5352,5362,gr15,gr_15_SP1,43234,12,8.22057E+08,8.91490205,2.11444E-02,-1.674803964,639.7183099,3.22472869,5.281787136
