Study day,ADD,SP1_WIN1_TBS,SP2_WIN2_TBS,SP3_WIN3_TBS,Study,LogADD
1,20,7,9,3,spring,1.301029996
2,43,9,10,9,spring,1.633468456
4,84,10,14,12,spring,1.924279286
5,103,15,15,14,spring,2.012837225
6,122,14,17,16,spring,2.086359831
7,142,14,15,16,spring,2.152288344
8,164,17,21,18,spring,2.214843848
9,185,17,23,18,spring,2.267171728
13,282,21,25,23,spring,2.450249108
14,304,23,26,24,spring,2.482873584
15,325,24,26,24,spring,2.511883361
16,346,24,26,23,spring,2.539076099
19,414,24,26,24,spring,2.617000341
20,438,24,26,24,spring,2.641474111
22,482,24,26,24,spring,2.683047038
25,554,24,26,24,spring,2.743509765
27,598,24,26,24,spring,2.776701184
29,642,24,26,24,spring,2.807535028
35,773,24,25,24,spring,2.888179494
37,818,24,25,24,spring,2.912753304
43,967,24,25,24,spring,2.985426474
47,1071,24,25,24,spring,3.029789471
49,1124,24,25,24,spring,3.050766311
51,1175,24,25,24,spring,3.070037867
54,1247,24,25,24,spring,3.095866453
58,1334,25,25,25,spring,3.12515583
61,1410,25,25,25,spring,3.149219113
64,1490,25,25,25,spring,3.173186268
70,1639,25,25,25,spring,3.214578954
72,1691,26,26,24,spring,3.228143608
75,1771,26,26,24,spring,3.248218561
78,1845,26,26,24,spring,3.26599637
79,1870,26,26,24,spring,3.271841607
82,1938,26,26,24,spring,3.287353773
84,1982,26,26,24,spring,3.29710365
86,2030,26,26,24,spring,3.307496038
90,2127,26,26,24,spring,3.32776749
93,2190,26,26,24,spring,3.340444115
96,2262,26,26,24,spring,3.354492601
103,2432,27,27,24,spring,3.385963571
105,2480,27,27,24,spring,3.394451681
107,2529,27,27,24,spring,3.402948829
111,2628,27,27,24,spring,3.419625361
114,2693,27,27,24,spring,3.430236353
117,2761,27,27,24,spring,3.441066407
120,2838,27,27,24,spring,3.453012391
125,2958,27,27,24,spring,3.47099817
128,3032,27,27,24,spring,3.481729197
132,3131,26,26,24,spring,3.495683068
140,3322,26,26,24,spring,3.521399628
145,3445,26,26,24,spring,3.537189226
150,3548,27,27,24,spring,3.549983611
155,3658,27,27,24,spring,3.563243701
160,3778,27,27,24,spring,3.577261954
163,3841,27,27,24,spring,3.584444307
168,3917,27,29,24,spring,3.592953572
201,4242,28,29,24,spring,3.627570664
254,4608,31,30,24,spring,3.66351247
303,4935,29,28,24,spring,3.693287157
357,5590,29,29,26,spring,3.747411808
376,5964,31,31,28,spring,3.775537635
3,11,5,5,5,winter,1.041392685
5,27,6,6,6,winter,1.431363764
7,44,7,7,7,winter,1.643452676
10,68,9,9,11,winter,1.832508913
11,72,9,9,11,winter,1.857332496
12,77,9,9,11,winter,1.886490725
13,86,9,9,11,winter,1.934498451
14,95,9,9,11,winter,1.977723605
21,167,9,9,9,winter,2.222716471
38,312,16,16,16,winter,2.494154594
55,491,17,17,18,winter,2.691081492
75,822,23,23,23,winter,2.914871818
94,1196,19,19,19,winter,3.07773118
110,1553,24,24,24,winter,3.191171456
126,1907,24,24,24,winter,3.280350693
140,2229,26,24,24,winter,3.348110068
158,2682,31,31,24,winter,3.428458774
186,3364,28,27,24,winter,3.526855987
201,3735,28,27,24,winter,3.572290606
216,4101,30,31,29,winter,3.612889769
234,4549,30,31,29,winter,3.657915937
252,4903,30,31,29,winter,3.690461893
384,5984,35,32,29,winter,3.776991585
