Season,Gene,ADH_ambient,ADH_internal,ADH_soil,Location,Sample,Date,Study day,copies/gdw,log copies/gdw,fungal:bacterial ratio,log f:b ratio,Chao1,Shannon,InvSimpson
WIN,16S,0,0,0,conint,conint,43504,0,3.82834E+10,10.58301062,4.64278E-02,-1.333221715,3537.331395,6.306857166,164.7655258
WIN,16S,0,0,0,con15,con15,43504,0,2.11530E+10,10.32537278,2.39132E-02,-1.621363151,3156.091691,5.950743895,96.08621602
WIN,16S,0,0,0,grint,gr_int_win1,43504,0,5.00123E+10,10.69907641,4.73483E-02,-1.32469579,4152.62645,6.295921764,157.5088453
WIN,16S,0,0,0,gr15,gr_15_win1,43504,0,2.68202E+10,10.42846204,3.04409E-02,-1.516543017,3699.983146,5.908329619,80.4754693
WIN,16S,0,0,0,grint,gr_int_win2,43504,0,6.77315E+10,10.83079078,2.74145E-02,-1.562018944,3971.777506,6.330480825,168.4735171
WIN,16S,0,0,0,gr15,gr_15_win2,43504,0,3.37680E+10,10.52850529,2.29702E-02,-1.638835273,3508.359649,5.918235604,78.88622205
WIN,16S,0,0,0,grint,gr_int_win3,43504,0,3.64201E+10,10.56134066,3.13677E-02,-1.503517174,4013.221951,6.333833131,173.4658496
WIN,16S,0,0,0,gr15,gr_15_win3,43504,0,3.34324E+10,10.52416756,1.80632E-02,-1.743204936,3374.017647,6.046590456,124.7044509
WIN,16S,3992,3319,3826,conint,conint,43525,21,2.29343E+10,10.3604853,6.85568E-02,-1.163949546,3242.459627,6.334394098,176.0649975
WIN,16S,3992,3319,3826,con15,con15,43525,21,9.19769E+09,9.963678902,5.09558E-02,-1.292806392,4058.791667,6.110013718,119.3132903
WIN,16S,3992,3319,3826,grint,gr_int_win1,43525,21,4.37642E+10,10.64111866,3.61932E-02,-1.441373307,3308.610028,6.100267782,124.1005682
WIN,16S,3992,3319,3826,gr15,gr_15_win1,43525,21,2.18969E+10,10.34038179,2.59568E-02,-1.585749218,3349.385321,5.873803735,89.72607631
WIN,16S,3992,3319,3826,grint,gr_int_win2,43525,21,4.85459E+10,10.68615267,2.57025E-02,-1.590024208,3583.902778,6.023993734,106.1211254
WIN,16S,3992,3319,3826,gr15,gr_15_win2,43525,21,2.54767E+10,10.40614334,4.67905E-02,-1.329842542,3529.304348,6.064720992,112.6743579
WIN,16S,3992,3319,3826,grint,gr_int_win3,43525,21,3.46457E+10,10.53964989,9.58281E-03,-2.018506961,2442.731092,5.905200511,98.36766433
WIN,16S,3992,3319,3826,gr15,gr_15_win3,43525,21,1.18764E+10,10.07468635,5.86272E-02,-1.23190097,2703.447236,5.928773799,117.4182795
WIN,16S,7485,6968,7594,conint,conint,43542,38,8.94540E+09,9.951599609,2.99660E-02,-1.523370695,2884.037037,6.160997381,171.3818972
WIN,16S,7485,6968,7594,con15,con15,43542,38,1.59259E+10,10.20210487,2.30321E-02,-1.637666184,2477.087866,5.847225941,95.91256274
WIN,16S,7485,6968,7594,grint,gr_int_win1,43542,38,1.04515E+11,11.01917876,4.26987E-06,-5.369585689,1717.591954,4.430926685,19.72837723
WIN,16S,7485,6968,7594,gr15,gr_15_win1,43542,38,2.75469E+10,10.44007235,1.23355E-02,-1.908843688,2311.743243,5.371075828,53.27081742
WIN,16S,7485,6968,7594,grint,gr_int_win2,43542,38,3.08225E+10,10.48886768,2.07722E-03,-2.682517192,2040.305085,5.222694015,50.63538067
