Season,Gene,ADH_ambient,ADH_internal,ADH_soil,Location,Sample,Date,Study day,copies/gdw,log copies/gdw,fungal:bacterial ratio,log f:b ratio,Chao1,Shannon,InvSimpson
WIN,ITS,0,0,0,conint,conint,43504,0,1.77742E+09,9.249788902,4.64278E-02,-1.333221715,1861.145749,5.068942862,32.40482218
WIN,ITS,0,0,0,con15,con15,43504,0,5.05836E+08,8.704009627,2.39132E-02,-1.621363151,1312.126984,5.07713553,48.5121181
WIN,ITS,0,0,0,grint,gr_int_win1,43504,0,2.36799E+09,9.374380616,4.73483E-02,-1.32469579,1691.180995,5.544261984,84.8219882
WIN,ITS,0,0,0,gr15,gr_15_win1,43504,0,8.16430E+08,8.911919023,3.04409E-02,-1.516543017,1382.216867,5.179672201,65.04169995
WIN,ITS,0,0,0,grint,gr_int_win2,43504,0,1.85683E+09,9.26877184,2.74145E-02,-1.562018944,1996.098214,5.603368569,80.46579367
WIN,ITS,0,0,0,gr15,gr_15_win2,43504,0,7.75658E+08,8.889670019,2.29702E-02,-1.638835273,1392.437126,5.129911445,69.8332419
WIN,ITS,0,0,0,grint,gr_int_win3,43504,0,1.14241E+09,9.057823487,3.13677E-02,-1.503517174,1921.049261,5.372562013,63.10113957
WIN,ITS,0,0,0,gr15,gr_15_win3,43504,0,6.03897E+08,8.78096262,1.80632E-02,-1.743204936,1553.502513,5.021048148,46.65613428
WIN,ITS,3992,3319,3826,conint,conint,43525,21,1.57230E+09,9.19653575,6.85568E-02,-1.163949546,1855.418103,4.848405352,18.20575048
WIN,ITS,3992,3319,3826,con15,con15,43525,21,4.68676E+08,8.67087251,5.09558E-02,-1.292806392,1647.016304,4.862439147,22.3643855
WIN,ITS,3992,3319,3826,grint,gr_int_win1,43525,21,1.58396E+09,9.199745356,3.61932E-02,-1.441373307,1515.452632,5.191271446,59.25617544
WIN,ITS,3992,3319,3826,gr15,gr_15_win1,43525,21,5.68372E+08,8.754632568,2.59568E-02,-1.585749218,1342.083333,5.334328434,82.36269506
WIN,ITS,3992,3319,3826,grint,gr_int_win2,43525,21,1.24775E+09,9.096128461,2.57025E-02,-1.590024208,1723.642045,5.378775736,68.9690305
WIN,ITS,3992,3319,3826,gr15,gr_15_win2,43525,21,1.19207E+09,9.076300802,4.67905E-02,-1.329842542,1379.270833,4.940997379,43.65253213
WIN,ITS,3992,3319,3826,grint,gr_int_win3,43525,21,3.32004E+08,8.52114293,9.58281E-03,-2.018506961,1702.142202,5.354812428,58.49959897
WIN,ITS,3992,3319,3826,gr15,gr_15_win3,43525,21,6.96282E+08,8.842785382,5.86272E-02,-1.23190097,799.7840909,3.810335761,13.71371311
WIN,ITS,7485,6968,7594,conint,conint,43542,38,2.68058E+08,8.428228915,2.99660E-02,-1.523370695,1015.431579,4.787245892,37.91002482
WIN,ITS,7485,6968,7594,con15,con15,43542,38,3.66808E+08,8.564438687,2.30321E-02,-1.637666184,1187.428571,5.159609393,63.05531446
WIN,ITS,7485,6968,7594,grint,gr_int_win1,43542,38,4.46265E+05,5.649593072,4.26987E-06,-5.369585689,1053.492537,4.41520468,26.22810371
WIN,ITS,7485,6968,7594,gr15,gr_15_win1,43542,38,3.39804E+08,8.531228666,1.23355E-02,-1.908843688,998.8229167,2.970423031,5.712372437
WIN,ITS,7485,6968,7594,grint,gr_int_win2,43542,38,6.40251E+07,7.806350484,2.07722E-03,-2.682517192,997.9822485,4.527692156,13.93264172
