Day,Measurement Time,SP1intemp,SP2intemp,SP3intemp,ambient1,ambient2,ambient_ means,ADH_ambient,internal_means,ADH_internal,Measurement Time2,SP1water,SP2water,SP3water,con1water,con2water,SP1soiltemp,SP2soiltemp,SP3soiltemp,con1soiltemp,con2soiltemp,SP1ec,SP2ec,SP3ec,con1ec,con2ec,Moisture_means,Moisture_conmeans,Soiltemp_means,Soiltemp_conmeans,ADH_soil,ADH_consoil,EC_means,EC_conmeans
0.625,43222.625,,,,28.39404297,27.70972252,28.05188274,0,,0,43222.625,33.6200676,42.38862228,35.89048386,8.216495514,3.708594322,15.89999962,7,20.70000076,23.29999924,22.39999962,0.111304216,0.253893256,0.160195813,0.069480106,0.167207524,37.29972458,,14.53333346,22.84999943,0,0,0.175131095,0.118343815
0.666666667,43222.66667,,,,28.76070976,27.98296738,28.37183857,28.37183857,,0,43222.66667,33.37958527,42.92623901,35.41213226,24.93027496,45.3675499,15.89999962,5.900000095,20.60000038,23.60000038,22.60000038,0.110118546,0.26218307,0.158489317,0.070228212,0.167207524,37.23931885,35.14891243,14.13333337,23.10000038,14.13333337,23.10000038,0.176930311,0.118717868
0.708333333,43222.70833,,,,28.71480942,28.00576782,28.36028862,56.73212719,,0,43222.70833,33.3105278,43.35858536,35.21845627,24.84297371,45.14751816,15.30000019,5.5,20.79999924,23.60000038,22.60000038,0.110118546,0.256626993,0.158489317,0.070984378,0.167207524,37.29585648,34.99524593,13.86666648,23.10000038,27.99999984,46.20000076,0.175078285,0.119095951
0.75,43222.75,,,,28.39404297,27.6642437,28.02914333,84.76127052,,0,43222.75,33.27593994,43.38105011,35.05602646,24.79925728,44.98547745,13.89999962,5.300000191,20.20000076,23.39999962,22.5,0.112502657,0.256626993,0.160195813,0.070228212,0.169007882,37.23767217,34.89236736,13.13333352,22.94999981,41.13333337,69.15000057,0.176441821,0.119618047
0.791666667,43222.79167,,,,27.96017456,27.36903572,27.66460514,112.4258757,,0,43222.79167,33.24131393,43.5597229,34.89266205,24.75549316,44.82172775,13.69999981,5.199999809,20.29999924,23.10000038,22.20000076,0.111304216,0.256626993,0.158489317,0.070228212,0.167207524,37.23123296,34.78861046,13.06666629,22.65000057,54.19999965,91.80000114,0.175473509,0.118717868
0.833333333,43222.83333,,,,26.64528275,26.10500717,26.37514496,138.8010206,,0,43222.83333,33.27593994,43.75854111,34.76129532,24.75549316,44.65624619,11.30000019,5.199999809,19.60000038,22,21.29999924,0.116175964,0.253893256,0.160195813,0.071748689,0.170827642,37.26525879,34.70586967,12.03333346,21.64999962,66.23333311,113.4500008,0.176755011,0.121288165
0.875,43222.875,,,,23.38624763,22.89991379,23.14308071,161.9441013,,0,43222.875,33.34507751,43.86799622,34.66236877,24.75549316,44.4890213,9.800000191,5.300000191,17.29999924,20.70000076,20.10000038,0.117426857,0.248512849,0.165426329,0.072521225,0.172666982,37.29181417,34.62225723,10.79999987,20.40000057,77.03333298,133.8500013,0.177122012,0.122594103
0.916666667,43222.91667,,,,20.69909668,20.34800148,20.52354908,182.4676504,,0,43222.91667,33.37958527,43.95505524,34.52994156,24.79925728,44.38361359,9.100000381,5.300000191,15.19999981,19.39999962,18.89999962,0.117426857,0.248512849,0.170827642,0.072521225,0.176405296,37.28819402,34.59143543,9.866666794,19.14999962,86.89999978,153.000001,0.17892245,0.12446326
0.958333333,43222.95833,,,,18.92292404,18.59414101,18.75853252,201.2261829,,0,43222.95833,33.41405869,44.10631943,34.39690781,24.84297371,44.32004166,8.399999619,5.300000191,12.89999962,18.29999924,17.89999962,0.117426857,0.248512849,0.176405296,0.074091338,0.174526125,37.30576197,34.58150768,8.866666476,18.09999943,95.76666625,171.1000004,0.180781667,0.124308731
1,43223,,,,18.13375473,17.89253044,18.01314259,219.2393255,,0,43223,33.44849014,44.23488617,34.16262436,24.84297371,44.25621414,8,5.300000191,10.69999981,17.60000038,17.29999924,0.117426857,0.248512849,0.182165071,0.074091338,0.174526125,37.28200022,34.54959393,8,17.44999981,103.7666663,188.5500002,0.182701593,0.124308731
