Day,Measurement Time2,WIN1intemp,WIN2intemp,WIN3intemp,ambient1,ambient2,ambient_ means,ADH_ambient,internal_means,ADH_internal,Measurement Time,WIN1water,WIN2water,WIN3water,con1water,con2water,WIN1soiltemp,WIN2soiltemp,WIN3soiltemp,con1soiltemp,con2soiltemp,WIN1ec,WIN2ec,WIN3ec,con1ec,con2ec,Moisture_means,Moisture_conmeans,Soiltemp_means,Soiltemp_conmeans,ADH_soil,ADH_consoil,EC_means,EC_conmeans
0.458333333,43504.45833,-18.17632866,-6.798254013,-20.19156647,6.367456436,5.864543438,6.115999937,0,0,0,43504.45833,0.475188673,0.47244212,0.462723792,,,6.800000191,6.800000191,7,,,0.240655258,0.19218564,0.228107482,,,0.470118195,,6.866666794,,0,0,0.220316127,
0.5,43504.5,-17.58382988,-11.18590927,-19.59891701,7.292483807,7.457352638,7.374918222,7.374918222,0,0,43504.5,0.479690909,0.477710217,0.460656524,0.456624836,0.45720771,3.799999952,5.599999905,5.800000191,8.5,7.599999905,0.273658723,0.196346536,0.235555381,0.245865554,0.176405296,0.472685883,0.456916273,5.066666683,8.049999952,5.066666683,8.049999952,0.23518688,0.211135425
0.541666667,43504.54167,-16.30880356,-16.43788147,-18.08428001,10.80544376,11.14558506,10.97551441,18.35043263,0,0,43504.54167,0.481317103,0.478539407,0.462163001,0.460656524,0.461975574,2.400000095,6.400000095,5.900000095,9,9.100000381,0.276605278,0.19013837,0.233046114,0.243246451,0.172666982,0.474006504,0.461316049,4.900000095,9.050000191,9.966666778,17.10000014,0.233263254,0.207956716
0.583333333,43504.58333,-14.92826366,-14.52327633,-16.30880356,9.847490311,9.549196243,9.698343277,28.04877591,0,0,43504.58333,0.482282311,0.478704572,0.46309641,0.461975574,0.462163001,1.799999952,8,5.900000095,11.19999981,10.80000019,0.276605278,0.182165071,0.230563581,0.235555381,0.167207524,0.474694431,0.462069288,5.233333349,11,15.20000013,28.10000014,0.229777977,0.201381452
0.625,43504.625,-13.65234566,-12.8829565,-14.72503281,10.00774765,11.59761524,10.80268145,38.85145736,0,0,43504.625,0.482921422,0.477876484,0.46309641,0.462163001,0.461975574,1.600000024,7.199999809,6.099999905,10.89999962,11.39999962,0.273658723,0.186109021,0.228107482,0.238091663,0.169007882,0.474631439,0.462069288,4.966666579,11.14999962,20.16666671,39.24999976,0.229291742,0.203549773
0.666666667,43504.66667,-12.46828556,-11.43808079,-13.38072491,8.230153084,8.972984314,8.601568699,47.45302606,0,0,43504.66667,0.483239681,0.477543682,0.463282347,0.46235019,0.461411774,1.399999976,7.099999905,6.099999905,10.39999962,10.39999962,0.270743549,0.186109021,0.228107482,0.238091663,0.172666982,0.47468857,0.461880982,4.866666595,10.39999962,25.0333333,49.64999938,0.228320017,0.205379322
0.708333333,43504.70833,-11.43808079,-10.16249371,-12.17031574,7.363183975,7.386736393,7.374960184,54.82798624,0,0,43504.70833,0.484031558,0.476707727,0.462910235,0.461223334,0.461034656,1.399999976,6.199999809,5.699999809,8.699999809,8.5,0.267859459,0.188112915,0.228107482,0.245865554,0.178304702,0.47454984,0.461128995,4.433333198,8.599999905,29.4666665,58.24999928,0.228026619,0.212085128
0.75,43504.75,-10.47654533,-9.036585808,-11.11423874,6.104465008,6.008593559,6.056529284,60.88451552,0,0,43504.75,0.484661192,0.475358367,0.46309641,0.460845709,0.461034656,1.399999976,5.099999905,5.099999905,7.5,7.099999905,0.265006065,0.19013837,0.230563581,0.248512849,0.182165071,0.47437199,0.460940182,3.866666595,7.299999952,33.33333309,65.54999924,0.228569339,0.21533896
0.791666667,43504.79167,-9.611708641,-8.012835503,-10.23201466,4.969535351,4.798856258,4.884195805,65.76871133,0,0,43504.79167,0.484974742,0.473994344,0.462910235,0.46046707,0.461034656,1.399999976,4.199999809,4.5,6.199999809,5.699999809,0.265006065,0.19425495,0.230563581,0.253893256,0.184126496,0.473959774,0.460750863,3.366666595,5.949999809,36.69999969,71.49999905,0.229941532,0.219009876
0.833333333,43504.83333,-8.835980415,-7.209046364,-9.407565117,3.814684868,3.665699482,3.740192175,69.5089035,0,0,43504.83333,0.485754907,0.473134339,0.462723792,0.459325105,0.460656524,1.399999976,3.5,4,5.400000095,4.699999809,0.26218307,0.196346536,0.230563581,0.251188636,0.186109021,0.473871013,0.459990814,2.966666659,5.049999952,39.66666635,76.549999,0.229697729,0.218648829
0.875,43504.875,-8.110561371,-6.547790527,-8.702914238,2.713293791,2.586794853,2.650044322,72.15894783,0,0,43504.875,0.485754907,0.47261554,0.46235019,0.458942443,0.46046707,1.399999976,2.900000095,3.5,4.699999809,4,0.26218307,0.196346536,0.230563581,0.251188636,0.186109021,0.473573546,0.459704757,2.600000024,4.349999905,42.26666637,80.8999989,0.229697729,0.218648829
0.916666667,43504.91667,-7.528332233,-6.052005768,-8.012835503,1.641572714,1.538385749,1.589979231,73.74892706,0,0,43504.91667,0.486065477,0.472268492,0.461787879,0.458366483,0.46046707,1.399999976,2.599999905,3,3.900000095,3.200000048,0.26218307,0.196346536,0.233046114,0.253893256,0.188112915,0.47337395,0.459416777,2.333333294,3.550000072,44.59999967,84.44999897,0.23052524,0.221003085
0.958333333,43504.95833,-6.987259388,-5.623616219,-7.464241505,0.836471856,0.679173291,0.757822573,74.50674963,0,0,43504.95833,0.486220449,0.472268492,0.461599946,0.457594991,0.46046707,1.399999976,2.299999952,2.599999905,3.299999952,2.5,0.259390146,0.196346536,0.230563581,0.253893256,0.19013837,0.473362962,0.459031031,2.099999944,2.899999976,46.69999961,87.34999895,0.228766754,0.222015813
1,43505,-6.547790527,-5.320606709,-6.955688477,0.468670726,0.38950184,0.429086283,74.93583591,0,0,43505,0.486684114,0.472094625,0.461223334,0.458558738,0.46046707,1.399999976,2.099999905,2.400000095,3.200000048,2.5,0.259390146,0.196346536,0.230563581,0.251188636,0.186109021,0.473334024,0.459512904,1.966666659,2.850000024,48.66666627,90.19999897,0.228766754,0.218648829
1.041666667,43505.04167,-6.175321579,-5.049957752,-6.547790527,0.098120682,-0.008269301,0.044925691,74.9807616,0,0,43505.04167,0.487145901,0.472094625,0.461411774,0.45817399,0.460277379,1.399999976,1.899999976,2.099999905,2.900000095,2.099999905,0.259390146,0.196346536,0.230563581,0.251188636,0.186109021,0.473550767,0.459225684,1.799999952,2.5,50.46666622,92.69999897,0.228766754,0.218648829
1.083333333,43505.08333,-5.867803574,-4.810979366,-6.206215382,-0.195018008,-0.221755832,0,74.9807616,0,0,43505.08333,0.487299412,0.47192052,0.461223334,0.457401484,0.460277379,1.399999976,1.799999952,2,2.900000095,2.200000048,0.256626993,0.196346536,0.228107482,0.248512849,0.184126496,0.473481089,0.458839431,1.733333309,2.550000072,52.19999953,95.24999905,0.227027004,0.216319673
1.125,43505.125,-5.562818527,-4.603079319,-5.929101944,-0.328857154,-0.409341753,0,74.9807616,0,0,43505.125,0.487758696,0.472268492,0.461223334,0.458366483,0.460087448,1.399999976,1.700000048,1.799999952,2.700000048,2,0.256626993,0.196346536,0.228107482,0.248512849,0.184126496,0.473750174,0.459226966,1.633333325,2.350000024,53.83333286,97.59999907,0.227027004,0.216319673
