Location,Sample,Date,Study day,ADH_ambient,ADH_internal,ADH_soil,Stage,Gravimetric moisture,pH,EC,DO,CO2 umol gdw soil-1 day-1,CO2 ug C gdw soil-1 day-1,NH4 mg per gdw,NH4 ug per gdw,NO3 mg per gdw,NO3 ug per gdw,TBS,Sorting
conint,con_int_sp1,43222,0,0,0,0,Initial,0.7072,7.6,40.91,,9.571409251,114.856911,0.023208815,23.20881493,0.009660476,9.660475733,3,SP1
con15,con_15_sp1,43222,0,0,0,0,Initial,0.395683453,7.72,43.57,98.2,1.906385215,22.87662258,0.006461084,6.461083933,0.006559712,6.55971223,3,SP1
grint,gr_int_sp1,43222,0,0,0,0,Initial,0.318925999,7.4,23.22,,3.928728239,47.14473887,0.015060376,15.06037634,0.013069677,13.06967736,3,SP1
gr15,gr_15_sp1,43222,0,0,0,0,Initial,0.414340102,7.51,18.45,96.7,2.620720119,31.44864142,0.007528061,7.528060914,0.006175952,6.175951777,3,SP1
conint,con_int_sp2,43222,0,0,0,0,Initial,0.647011309,7.09,42.46,,9.557101344,114.6852161,0.016716067,16.71606677,0.008797236,8.797236403,3,SP2
con15,con_15_sp2,43222,0,0,0,0,Initial,0.48627727,7.18,19.7,96.7,3.507785002,42.09342002,0.009670711,9.670710767,0.008883975,8.883974666,3,SP2
grint,gr_int_sp2,43222,0,0,0,0,Initial,0.366893144,7.13,45.54,,4.913158209,58.95789851,0.010636251,10.63625118,0.008507543,8.507542928,3,SP2
gr15,gr_15_sp2,43222,0,0,0,0,Initial,0.366706161,7.38,43.46,98,1.951326767,23.4159212,0.008397043,8.397042654,0.008508201,8.508201422,3,SP2
conint,con_int_sp3,43222,0,0,0,0,Initial,0.61377709,7.27,48.15,,6.894648229,82.73577875,0.018392755,18.39275542,0.006282972,6.282972136,3,SP3
con15,con_15_sp3,43222,0,0,0,0,Initial,0.422352177,7.21,30.65,98.4,3.284597465,39.41516958,0.010954008,10.95400823,0.00634938,6.349380117,3,SP3
grint,gr_int_sp3,43222,0,0,0,0,Initial,0.414685315,6.86,152.2,,6.394766351,76.73719621,0.042561279,42.56127925,0.039618734,39.6187338,3,SP3
gr15,gr_15_sp3,43222,0,0,0,0,Initial,0.436163714,7.17,57.04,97.1,2.762865679,33.15438815,0.010907185,10.90718469,0.00965868,9.658679699,3,SP3
conint,con_int_sp1,43230,8,3801,2457,2703,Bloat,0.271631206,7,59.47,,3.859931871,46.31918246,0.010227306,10.22730591,0.011854994,11.85499385,17,SP1
con15,con_15_sp1,43230,8,3801,2457,2703,Bloat,0.230295567,7.58,89.27,97.8,3.450554175,41.4066501,0.007388335,7.388334975,0.007837803,7.837802956,17,SP1
grint,gr_int_sp1,43230,8,3801,2457,2703,Bloat,0.448135198,6.97,2495,,52.21004107,626.5204929,3.053055167,3053.055167,0.003871348,3.871348096,17,SP1
gr15,gr_15_sp1,43230,8,3801,2457,2703,Bloat,0.186688312,7.07,134.4,92.7,8.952020735,107.4242488,0.037815801,37.81580087,0.01265168,12.65167965,17,SP1
conint,con_int_sp2,43230,8,3801,2457,2703,Bloat,0.207933461,7.05,59.95,,3.463426857,41.56112228,0.016292607,16.29260653,0.012752556,12.7525562,21,SP2
con15,con_15_sp2,43230,8,3801,2457,2703,Bloat,0.248687664,7.21,78.44,99.4,2.857246398,34.28695678,0.00861761,8.617609799,0.005424299,5.424299213,21,SP2
grint,gr_int_sp2,43230,8,3801,2457,2703,Bloat,0.405729514,6.61,4.537,,55.58105805,666.9726966,2.601536753,2601.536753,0.000316758,0.316757717,21,SP2
