Location,Sample,Date,Study day,ADH_ambient,ADH_internal,ADH_soil,Stage,Gravimetric moisture,pH,EC,DO,CO2 umol gdw soil-1 day-1,CO2 ug C gdw soil-1 day-1,NH4 mg per gdw,NH4 ug per gdw,NO3 mg per gdw,NO3 ug per gdw
conint,con_int_win1,43504,0,0,0,0,Initial,1.256191289,7.22,48.41,,11.34796846,136.1756216,0.025233243,25.23324338,0.008609626,8.609625961
con15,con_15_win1,43504,0,0,0,0,Initial,0.582389937,7.63,62.8,100.3,2.482924882,29.79509858,0.008502709,8.502708595,0.00676208,6.762079665
grint,gr_int_win1,43504,0,0,0,0,Initial,0.896494157,7.18,50.21,,7.102487936,85.22985523,0.005552935,5.552934891,0.00682485,6.824850306
gr15,gr_15_win1,43504,0,0,0,0,Initial,0.559730791,7.64,38.13,104.2,1.743355568,20.92026681,0.008651307,8.651306786,0.005573438,5.573438026
conint,con_int_win2,43504,0,0,0,0,Initial,0.748286604,7.53,53.35,,5.399212024,64.79054428,0.008056105,8.056104673,0.005561882,5.561882451
con15,con_15_win2,43504,0,0,0,0,Initial,0.479126214,7.53,50.91,102.4,1.45215039,17.42580468,0.009190304,9.190304207,0.004421601,4.421601294
grint,gr_int_win2,43504,0,0,0,0,Initial,0.909016393,7.36,49.8,,7.093167852,85.11801423,0.007279716,7.279715847,0.005116164,5.116163934
gr15,gr_15_win2,43504,0,0,0,0,Initial,0.547393365,7.46,52.14,102.3,2.213477386,26.56172864,0.00885109,8.851090047,0.005190989,5.190988942
conint,con_int_win3,43504,0,0,0,0,Initial,0.884711779,7.48,56.62,,5.432350953,65.18821143,0.006423098,6.423097744,0.007639365,7.639365079
con15,con_15_win3,43504,0,0,0,0,Initial,0.661557327,7.61,45.98,102.2,2.046529216,24.55835059,0.009260413,9.260412835,0.008695483,8.695483344
grint,gr_int_win3,43504,0,0,0,0,Initial,0.895881896,7.57,93.44,,5.381384364,64.57661237,0.008786781,8.786780627,0.005235162,5.235161875
gr15,gr_15_win3,43504,0,0,0,0,Initial,0.657713929,7.56,66.98,102.5,2.203526346,26.44231615,0.010211518,10.2115178,0.006988922,6.988921924
conint,con_int_win1,43525,21,3992,3319,3826,Bloat,1.02016129,7.47,69.25,,8.065753854,96.78904625,0.043096774,43.09677419,0.011215935,11.21593548
con15,con_15_win1,43525,21,3992,3319,3826,Bloat,0.614035088,7.86,89.93,98.05,2.705826121,32.46991345,0.010613895,10.61389474,0.009184936,9.184935673
grint,gr_int_win1,43525,21,3992,3319,3826,Bloat,0.873472322,7.1,69.03,,16.32939548,195.9527458,0.019773876,19.77387587,0.013076837,13.07683681
gr15,gr_15_win1,43525,21,3992,3319,3826,Bloat,0.512763596,7.27,80.28,98.2,2.265607509,27.1872901,0.011355812,11.35581206,0.016825965,16.82596522
